Instl No,Due Date,Instl Amt,Principal,Interest,Outstanding Principal
1,07/07/2024,18418,10732,7686,839268
2,07/08/2024,18418,10829,7589,828439
3,07/09/2024,18418,10927,7491,817512
4,07/10/2024,18418,11026,7392,806486
5,07/11/2024,18418,11125,7293,795361
6,07/12/2024,18418,11226,7192,784135
7,07/01/2025,18418,11327,7091,772808
8,07/02/2025,18418,11430,6988,761378
9,07/03/2025,18418,11533,6885,749845
10,07/04/2025,18418,11637,6781,738208
11,07/05/2025,18418,11743,6675,726465
12,07/06/2025,18418,11849,6569,714616
13,07/07/2025,18418,11956,6462,702660
14,07/08/2025,18418,12064,6354,690596
15,07/09/2025,18418,12173,6245,678423
16,07/10/2025,18418,12283,6135,666140
17,07/11/2025,18418,12394,6024,653746
18,07/12/2025,18418,12506,5912,641240
19,07/01/2026,18418,12620,5798,628620
20,07/02/2026,18418,12734,5684,615886
21,07/03/2026,18418,12849,5569,603037
22,07/04/2026,18418,12965,5453,590072
23,07/05/2026,18418,13082,5336,576990
24,07/06/2026,18418,13201,5217,563789
25,07/07/2026,18418,13320,5098,550469
26,07/08/2026,18418,13440,4978,537029
27,07/09/2026,18418,13562,4856,523467
28,07/10/2026,18418,13685,4733,509782
29,07/11/2026,18418,13808,4610,495974
30,07/12/2026,18418,13933,4485,482041
31,07/01/2027,18418,14059,4359,467982
32,07/02/2027,18418,14186,4232,453796
33,07/03/2027,18418,14315,4103,439481
34,07/04/2027,18418,14444,3974,425037
35,07/05/2027,18418,14575,3843,410462
36,07/06/2027,18418,14706,3712,395756
37,07/07/2027,18418,14839,3579,380917
38,07/08/2027,18418,14974,3444,365943
39,07/09/2027,18418,15109,3309,350834
40,07/10/2027,18418,15246,3172,335588
41,07/11/2027,18418,15383,3035,320205
42,07/12/2027,18418,15523,2895,304682
43,07/01/2028,18418,15663,2755,289019
44,07/02/2028,18418,15805,2613,273214
45,07/03/2028,18418,15947,2471,257267
46,07/04/2028,18418,16092,2326,241175
47,07/05/2028,18418,16237,2181,224938
48,07/06/2028,18418,16384,2034,208554
49,07/07/2028,18418,16532,1886,192022
50,07/08/2028,18418,16682,1736,175340
51,07/09/2028,18418,16832,1586,158508
52,07/10/2028,18418,16985,1433,141523
53,07/11/2028,18418,17138,1280,124385
54,07/12/2028,18418,17293,1125,107092
55,07/01/2029,18418,17450,968,89642
56,07/02/2029,18418,17607,811,72035
57,07/03/2029,18418,17767,651,54268
58,07/04/2029,18418,17927,491,36341
59,07/05/2029,18418,18089,329,18252
60,07/06/2029,18418,18252,166,0
